TimeID,Date,Day,Month,Quarter,Year
502,2015-12-18,18,12,4,2015
503,2015-12-19,19,12,4,2015
504,2015-12-20,20,12,4,2015
505,2015-12-21,21,12,4,2015
506,2015-12-23,23,12,4,2015
507,2015-12-25,25,12,4,2015
508,2015-12-26,26,12,4,2015
509,2015-12-27,27,12,4,2015
510,2015-12-28,28,12,4,2015
511,2015-12-31,31,12,4,2015
512,2016-01-01,1,1,1,2016
513,2016-01-02,2,1,1,2016
514,2016-01-03,3,1,1,2016
515,2016-01-04,4,1,1,2016
516,2016-01-05,5,1,1,2016
517,2016-01-06,6,1,1,2016
518,2016-01-07,7,1,1,2016
519,2016-01-08,8,1,1,2016
520,2016-01-10,10,1,1,2016
521,2016-01-11,11,1,1,2016
522,2016-01-12,12,1,1,2016
523,2016-01-13,13,1,1,2016
524,2016-01-14,14,1,1,2016
525,2016-01-15,15,1,1,2016
526,2016-01-16,16,1,1,2016
527,2016-01-17,17,1,1,2016
528,2016-01-18,18,1,1,2016
529,2016-01-19,19,1,1,2016
530,2016-01-20,20,1,1,2016
531,2016-01-21,21,1,1,2016
532,2016-01-22,22,1,1,2016
533,2016-01-23,23,1,1,2016
534,2016-01-24,24,1,1,2016
535,2016-01-25,25,1,1,2016
536,2016-01-26,26,1,1,2016
537,2016-01-27,27,1,1,2016
538,2016-01-29,29,1,1,2016
539,2016-01-30,30,1,1,2016
540,2016-01-31,31,1,1,2016
541,2016-02-01,1,2,1,2016
542,2016-02-02,2,2,1,2016
543,2016-02-03,3,2,1,2016
544,2016-02-04,4,2,1,2016
545,2016-02-05,5,2,1,2016
546,2016-02-06,6,2,1,2016
547,2016-02-09,9,2,1,2016
548,2016-02-10,10,2,1,2016
549,2016-02-11,11,2,1,2016
550,2016-02-12,12,2,1,2016
551,2016-02-13,13,2,1,2016
552,2016-02-14,14,2,1,2016
553,2016-02-15,15,2,1,2016
554,2016-02-16,16,2,1,2016
555,2016-02-18,18,2,1,2016
556,2016-02-19,19,2,1,2016
557,2016-02-21,21,2,1,2016
558,2016-02-22,22,2,1,2016
559,2016-02-23,23,2,1,2016
560,2016-02-24,24,2,1,2016
561,2016-02-25,25,2,1,2016
562,2016-02-26,26,2,1,2016
563,2016-02-27,27,2,1,2016
564,2016-02-28,28,2,1,2016
565,2016-02-29,29,2,1,2016
566,2016-03-01,1,3,1,2016
567,2016-03-02,2,3,1,2016
568,2016-03-03,3,3,1,2016
569,2016-03-04,4,3,1,2016
570,2016-03-05,5,3,1,2016
571,2016-03-06,6,3,1,2016
572,2016-03-07,7,3,1,2016
573,2016-03-09,9,3,1,2016
574,2016-03-10,10,3,1,2016
575,2016-03-11,11,3,1,2016
576,2016-03-12,12,3,1,2016
577,2016-03-13,13,3,1,2016
578,2016-03-14,14,3,1,2016
579,2016-03-15,15,3,1,2016
580,2016-03-16,16,3,1,2016
581,2016-03-17,17,3,1,2016
582,2016-03-18,18,3,1,2016
583,2016-03-19,19,3,1,2016
584,2016-03-22,22,3,1,2016
585,2016-03-23,23,3,1,2016
586,2016-03-24,24,3,1,2016
587,2016-03-25,25,3,1,2016
588,2016-03-27,27,3,1,2016
589,2016-03-28,28,3,1,2016
590,2016-03-29,29,3,1,2016
591,2016-03-30,30,3,1,2016
592,2016-03-31,31,3,1,2016
593,2016-04-01,1,4,2,2016
594,2016-04-02,2,4,2,2016
595,2016-04-03,3,4,2,2016
596,2016-04-05,5,4,2,2016
597,2016-04-06,6,4,2,2016
598,2016-04-08,8,4,2,2016
599,2016-04-09,9,4,2,2016
600,2016-04-10,10,4,2,2016
601,2016-04-11,11,4,2,2016
602,2016-04-12,12,4,2,2016
603,2016-04-13,13,4,2,2016
604,2016-04-14,14,4,2,2016
605,2016-04-16,16,4,2,2016
606,2016-04-17,17,4,2,2016
607,2016-04-18,18,4,2,2016
608,2016-04-19,19,4,2,2016
609,2016-04-20,20,4,2,2016
610,2016-04-21,21,4,2,2016
611,2016-04-22,22,4,2,2016
612,2016-04-23,23,4,2,2016
613,2016-04-24,24,4,2,2016
614,2016-04-25,25,4,2,2016
615,2016-04-26,26,4,2,2016
616,2016-04-28,28,4,2,2016
617,2016-04-29,29,4,2,2016
618,2016-04-30,30,4,2,2016
619,2016-05-01,1,5,2,2016
620,2016-05-02,2,5,2,2016
621,2016-05-03,3,5,2,2016
622,2016-05-04,4,5,2,2016
623,2016-05-05,5,5,2,2016
624,2016-05-06,6,5,2,2016
625,2016-05-07,7,5,2,2016
626,2016-05-08,8,5,2,2016
627,2016-05-09,9,5,2,2016
628,2016-05-10,10,5,2,2016
629,2016-05-11,11,5,2,2016
630,2016-05-12,12,5,2,2016
631,2016-05-13,13,5,2,2016
632,2016-05-14,14,5,2,2016
633,2016-05-15,15,5,2,2016
634,2016-05-16,16,5,2,2016
635,2016-05-17,17,5,2,2016
636,2016-05-18,18,5,2,2016
637,2016-05-19,19,5,2,2016
638,2016-05-20,20,5,2,2016
639,2016-05-21,21,5,2,2016
640,2016-05-22,22,5,2,2016
641,2016-05-23,23,5,2,2016
642,2016-05-24,24,5,2,2016
643,2016-05-26,26,5,2,2016
644,2016-05-27,27,5,2,2016
645,2016-05-28,28,5,2,2016
646,2016-05-29,29,5,2,2016
647,2016-05-31,31,5,2,2016
648,2016-06-01,1,6,2,2016
649,2016-06-03,3,6,2,2016
650,2016-06-04,4,6,2,2016
651,2016-06-05,5,6,2,2016
652,2016-06-06,6,6,2,2016
653,2016-06-09,9,6,2,2016
654,2016-06-10,10,6,2,2016
655,2016-06-12,12,6,2,2016
656,2016-06-13,13,6,2,2016
657,2016-06-14,14,6,2,2016
658,2016-06-16,16,6,2,2016
659,2016-06-17,17,6,2,2016
660,2016-06-19,19,6,2,2016
661,2016-06-21,21,6,2,2016
662,2016-06-22,22,6,2,2016
663,2016-06-23,23,6,2,2016
664,2016-06-24,24,6,2,2016
665,2016-06-26,26,6,2,2016
666,2016-06-28,28,6,2,2016
667,2016-06-29,29,6,2,2016
668,2016-07-01,1,7,3,2016
669,2016-07-03,3,7,3,2016
670,2016-07-05,5,7,3,2016
671,2016-07-06,6,7,3,2016
672,2016-07-08,8,7,3,2016
673,2016-07-09,9,7,3,2016
674,2016-07-10,10,7,3,2016
675,2016-07-11,11,7,3,2016
676,2016-07-13,13,7,3,2016
677,2016-07-15,15,7,3,2016
678,2016-07-17,17,7,3,2016
679,2016-07-18,18,7,3,2016
680,2016-07-19,19,7,3,2016
681,2016-07-20,20,7,3,2016
682,2016-07-22,22,7,3,2016
683,2016-07-25,25,7,3,2016
684,2016-07-27,27,7,3,2016
685,2016-07-28,28,7,3,2016
686,2016-07-30,30,7,3,2016
687,2016-07-31,31,7,3,2016
688,2016-08-01,1,8,3,2016
689,2016-08-04,4,8,3,2016
690,2016-08-06,6,8,3,2016
691,2016-08-07,7,8,3,2016
692,2016-08-09,9,8,3,2016
693,2016-08-10,10,8,3,2016
694,2016-08-12,12,8,3,2016
695,2016-08-13,13,8,3,2016
696,2016-08-14,14,8,3,2016
697,2016-08-15,15,8,3,2016
698,2016-08-16,16,8,3,2016
699,2016-08-17,17,8,3,2016
700,2016-08-18,18,8,3,2016
701,2016-08-21,21,8,3,2016
702,2016-08-23,23,8,3,2016
703,2016-08-25,25,8,3,2016
704,2016-08-27,27,8,3,2016
705,2016-09-01,1,9,3,2016
706,2016-09-02,2,9,3,2016
707,2016-09-03,3,9,3,2016
708,2016-09-04,4,9,3,2016
709,2016-09-06,6,9,3,2016
710,2016-09-08,8,9,3,2016
711,2016-09-09,9,9,3,2016
712,2016-09-11,11,9,3,2016
713,2016-09-12,12,9,3,2016
714,2016-09-14,14,9,3,2016
715,2016-09-16,16,9,3,2016
716,2016-09-20,20,9,3,2016
717,2016-09-21,21,9,3,2016
718,2016-09-22,22,9,3,2016
719,2016-09-24,24,9,3,2016
720,2016-09-26,26,9,3,2016
721,2016-09-27,27,9,3,2016
722,2016-09-28,28,9,3,2016
723,2016-09-29,29,9,3,2016
724,2016-10-01,1,10,4,2016
725,2016-10-03,3,10,4,2016
726,2016-10-04,4,10,4,2016
727,2016-10-08,8,10,4,2016
728,2016-10-09,9,10,4,2016
729,2016-10-14,14,10,4,2016
730,2016-10-17,17,10,4,2016
731,2016-10-18,18,10,4,2016
732,2016-10-19,19,10,4,2016
733,2016-10-20,20,10,4,2016
734,2016-10-22,22,10,4,2016
735,2016-10-25,25,10,4,2016
736,2016-10-26,26,10,4,2016
737,2016-10-28,28,10,4,2016
738,2016-10-29,29,10,4,2016
739,2016-10-30,30,10,4,2016
740,2016-10-31,31,10,4,2016
741,2016-11-01,1,11,4,2016
742,2016-11-02,2,11,4,2016
